Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.7430,2232.0625,0.0000,0.1010
200,35.7143,2223.8398,9.2364,0.2010
300,44.8276,2223.5000,16.3424,0.3010
400,62.0690,2221.1328,18.7197,0.4010
500,42.8571,2221.4336,21.4630,0.5010
600,42.8571,2221.5391,24.3548,0.6010
700,44.4444,2221.4570,26.6555,0.7010
800,40.7407,2221.4609,26.4349,0.8010
900,39.2857,2221.6719,26.8501,0.9010
1000,50.0000,2221.5742,27.2577,1.0010
1100,36.6667,2221.9883,28.7250,1.1010
1200,42.8571,2221.8828,28.6321,1.2010
1300,39.2857,2221.8086,27.9668,1.3010
1400,42.3077,2221.4375,27.5057,1.4010
1500,52.1739,2221.4883,27.1806,1.5010
1600,88.0000,2221.6289,26.4911,1.6010
1700,45.8333,2221.6875,25.9445,1.7010
1800,37.5000,2221.6094,25.4363,1.8010
1900,45.8333,2221.7578,25.1109,1.9010
2000,40.7407,2221.6641,24.7473,2.0010
2100,41.6667,2221.7461,24.2707,2.1010
2200,28.5714,2221.6406,23.4538,2.2010
2300,34.3750,2221.5156,22.8246,2.3010
2400,25.8065,2221.9219,22.2370,2.4010
2500,31.8182,2221.8828,21.7466,2.5010
2600,32.0000,2221.6875,21.4341,2.6010
2700,43.4783,2221.8320,21.1480,2.7010
2800,46.1538,2222.0781,20.6000,2.8010
2900,33.3333,2221.4961,20.1821,2.9010
3000,44.4444,2221.3320,20.0271,3.0010
3100,47.6190,2221.7344,19.9457,3.1010
3200,26.6667,2221.5977,19.7068,3.2010
3300,43.4783,2221.4570,19.5418,3.3010
3400,43.4783,2221.8047,19.4829,3.4010
3500,40.9091,2221.8672,19.2795,3.5010
3600,29.6296,2222.0234,19.0924,3.6010
3700,32.1429,2221.3828,18.8705,3.7010
3800,37.5000,2221.5312,18.6544,3.8010
3900,32.0000,2221.7695,18.4625,3.9010
4001,43.3333,2221.7656,18.3816,4.0016
4100,47.8261,2221.7461,18.5592,4.1010
4200,36.0000,2221.8984,18.4098,4.2010
4300,50.0000,2221.8008,18.1686,4.3010
4400,39.1304,2222.0156,18.1831,4.4010
4500,47.6190,2221.8242,18.0601,4.5010
4600,47.3684,2221.6406,17.8765,4.6010
4700,38.0952,2221.8516,17.7845,4.7010
4800,40.0000,2221.8086,17.6509,4.8010
4900,33.3333,2221.7344,17.5062,4.9010
5000,37.5000,2221.8125,17.4392,5.0010
5100,45.8333,2222.4727,17.3845,5.1010
5200,42.8571,2222.4023,17.2085,5.2010
5300,44.4444,2221.8203,17.0369,5.3010
5400,33.3333,2221.6562,16.9763,5.4010
5500,47.8261,2221.7930,16.9220,5.5010
5600,43.4783,2221.7852,16.8721,5.6010
5700,37.5000,2221.8672,16.8791,5.7010
5800,83.3333,2221.7930,16.7303,5.8010
5900,42.8571,2221.4688,16.6918,5.9010
6000,41.1765,2221.3594,16.6352,6.0010
6100,42.8571,2221.3594,16.5678,6.1010
6200,50.0000,2221.5547,16.4906,6.2010
6300,39.2857,2221.6953,16.5373,6.3010
6400,41.1765,2221.5547,16.3575,6.4010
6500,52.3810,2221.6758,16.3112,6.5010
6600,33.3333,2221.7383,16.1895,6.6010
6700,40.9091,2221.8633,16.0791,6.7010
6800,39.1304,2221.5586,16.0624,6.8010
6900,28.1250,2221.9297,15.9606,6.9010
7000,37.9310,2221.8633,15.9329,7.0010
7100,35.7143,2221.6172,15.9605,7.1010
7200,45.4545,2221.8086,15.9317,7.2010
7300,40.0000,2222.0781,15.9117,7.3010
7400,36.3636,2221.5156,15.8421,7.4010
7500,40.0000,2221.9844,15.8247,7.5010
7600,43.4783,2222.0391,15.7778,7.6010
7700,45.0000,2221.6406,15.8349,7.7010
7800,45.8333,2221.8125,15.8507,7.8010
7900,39.1304,2221.5586,15.8277,7.9010
8000,52.3810,2221.2422,15.8443,8.0010
8100,44.4444,2221.4375,15.8749,8.1010
8200,37.5000,2221.4531,15.7624,8.2010
8300,36.3636,2221.8594,15.7313,8.3010
8400,45.4545,2222.1562,15.7304,8.4010
8500,47.6190,2221.8477,15.7276,8.5010
8600,36.3636,2221.8711,15.6587,8.6010
8700,42.8571,2222.1992,15.6076,8.7010
8800,47.8261,2221.8242,15.5382,8.8010
8900,47.6190,2221.6250,15.4692,8.9010
9000,47.0588,2221.8320,15.4215,9.0010
9100,66.6667,2221.7266,15.3223,9.1010
9200,38.4615,2221.6562,15.2922,9.2010
9300,47.6190,2221.9297,15.2397,9.3010
9400,47.6190,2222.0703,15.2380,9.4010
9500,40.7407,2221.6758,15.2499,9.5010
9600,42.8571,2221.4141,15.2264,9.6010
9700,35.7143,2221.5781,15.2113,9.7010
9800,37.5000,2221.5898,15.1854,9.8010
9900,52.6316,2221.5508,15.1392,9.9010
10000,31.8182,2221.9414,15.0657,10.0010
10100,40.0000,2221.7734,15.0769,10.1010
10200,27.2727,2221.5625,15.0237,10.2010
10300,42.8571,2221.8828,15.0767,10.3010
10400,45.4545,2221.6562,15.0741,10.4010
10500,45.0000,2221.6367,15.1081,10.5010
10600,43.4783,2222.0352,15.0802,10.6010
10700,46.1538,2221.5781,15.0956,10.7010
10800,35.7143,2221.5664,15.1146,10.8010
10900,35.4839,2221.5273,15.0982,10.9010
11000,50.0000,2221.4336,15.1080,11.0010
11100,50.0000,2221.4336,15.0613,11.1010
