Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,2.5237,5116.8828,0.0000,0.1021
201,72.7273,5116.4062,3.8190,0.2021
301,50.0000,5116.5078,21.9985,0.3021
401,34.4828,5116.5078,36.2651,0.4021
501,26.6667,5116.4766,40.8591,0.5021
601,33.3333,5116.5078,43.6808,0.6021
701,73.9130,5116.2266,40.7945,0.7021
801,27.2727,5116.3203,38.7917,0.8021
901,43.4783,5116.4141,36.7244,0.9021
1001,38.0952,5116.2891,35.7733,1.0021
1101,33.3333,5116.5078,35.4261,1.1021
1201,31.0345,5116.5078,35.7639,1.2021
1301,84.0000,5117.3203,34.9799,1.3021
1401,70.8333,5116.3828,35.1728,1.4021
1501,92.0000,5116.1953,35.9183,1.5021
1601,36.3636,5116.2891,37.1332,1.6021
1701,43.4783,5116.1953,37.7048,1.7021
1801,26.6667,5116.4766,38.6948,1.8021
1901,45.8333,5116.2578,37.8059,1.9021
2001,31.8182,5116.4766,38.0944,2.0021
2101,35.7143,5116.1641,39.3300,2.1021
2201,33.3333,5116.4453,40.8105,2.2021
2301,31.2500,5116.4453,41.2726,2.3021
2401,37.9310,5116.4766,42.4261,2.4021
2501,40.0000,5116.1641,42.9373,2.5021
2601,34.4828,5116.5078,44.1208,2.6021
2701,36.6667,5116.3516,45.0469,2.7021
2801,30.7692,5116.3516,45.2870,2.8021
2901,36.6667,5116.2578,46.1260,2.9021
3001,36.6667,5116.3203,46.6744,3.0021
3101,41.3793,5116.2578,47.3512,3.1021
3201,32.1429,5116.4766,47.7401,3.2021
3301,37.9310,5116.1641,48.2047,3.3021
3401,38.7097,5116.5078,49.1236,3.4021
3501,33.3333,5116.3203,49.9292,3.5021
3601,41.6667,5116.7227,49.3071,3.6021
3701,36.6667,5116.3242,49.4401,3.7021
3801,34.6154,5116.4805,49.5532,3.8021
3901,34.6154,5116.5117,49.8663,3.9021
4001,34.4828,5116.5117,49.8566,4.0021
4101,25.0000,5116.5117,49.5438,4.1021
4201,32.1429,5116.5117,49.6983,4.2021
4301,41.3793,5116.3555,49.7960,4.3021
4401,31.2500,5116.3242,50.4737,4.4021
4501,35.7143,5116.2305,50.6846,4.5021
4601,32.1429,5116.4805,50.9005,4.6021
4701,36.6667,5116.5117,51.5951,4.7021
4801,34.4828,5116.5117,51.4282,4.8021
4901,44.4444,5116.1680,50.6197,4.9021
5001,42.8571,5116.3867,50.2431,5.0021
5101,40.0000,5116.2930,49.8588,5.1021
5201,33.3333,5116.4492,49.9870,5.2021
5301,36.3636,5116.4727,49.6158,5.3021
5401,33.3333,5116.4414,49.7892,5.4021
5501,42.8571,5116.5039,49.9831,5.5021
5601,37.0370,5116.5039,50.4392,5.6021
5701,34.4828,5116.3164,50.7988,5.7021
5801,37.0370,5116.4414,51.1150,5.8021
5901,24.1379,5116.4727,51.0179,5.9021
6001,32.1429,5116.5039,51.2297,6.0021
6101,40.0000,5116.5352,51.0614,6.1021
6201,30.7692,5116.2227,51.0359,6.2021
6301,33.3333,5116.3477,51.4454,6.3021
6401,34.4828,5116.4727,51.5452,6.4021
6501,33.3333,5116.5039,51.7125,6.5021
6601,30.0000,5116.4727,52.1106,6.6021
6701,37.5000,5116.1602,51.8415,6.7021
6801,34.4828,5116.4727,52.0163,6.8021
6901,33.3333,5116.4727,52.0959,6.9021
7001,38.4615,5116.4727,52.1568,7.0021
7101,35.4839,5116.4727,52.6036,7.1021
7201,34.6154,5116.2227,52.8947,7.2021
7301,41.3793,5116.1914,53.3056,7.3021
7401,36.6667,5116.3164,53.6812,7.4021
7501,32.1429,5116.2852,53.9615,7.5021
7601,37.9310,5116.5039,54.0491,7.6021
7701,40.7407,5116.5039,53.8026,7.7021
7801,35.7143,5116.5039,53.9803,7.8021
7901,40.7407,5116.2539,53.9627,7.9021
8001,31.8182,5116.4727,53.9251,8.0021
8101,32.0000,5116.3477,53.7246,8.1021
8201,31.0345,5116.2852,53.6249,8.2021
8301,34.6154,5116.2852,53.3875,8.3021
8401,36.6667,5116.1914,53.4541,8.4021
8501,36.0000,5116.3477,53.2262,8.5021
8601,36.6667,5116.5039,53.3579,8.6021
8701,36.3636,5116.4414,53.4828,8.7021
8801,32.4324,5116.4727,53.8226,8.8021
8901,20.5882,5116.1914,53.7002,8.9021
9001,35.7143,5116.5039,53.8845,9.0021
9101,33.3333,5116.4102,54.0737,9.1021
9201,33.3333,5116.4102,54.2018,9.2021
9301,34.7826,5116.5039,54.0753,9.3021
9401,33.3333,5116.5039,54.3209,9.4021
9501,29.0323,5116.4727,54.3700,9.5021
9601,42.3077,5116.3789,54.4948,9.6021
9701,45.8333,5116.1914,54.4313,9.7021
9801,36.8421,5116.2227,54.1000,9.8021
9901,35.7143,5116.4727,54.0814,9.9021
10001,33.3333,5116.4727,54.1272,10.0021
10101,33.3333,5116.3164,54.1931,10.1021
10201,38.7097,5116.3750,54.3075,10.2021
10301,33.3333,5116.3750,54.5628,10.3021
10401,38.7097,5116.3750,54.5265,10.4021
10501,37.9310,5116.2812,54.4161,10.5021
10601,35.7143,5116.4688,54.6940,10.6021
10701,34.3750,5116.5000,54.8214,10.7021
10801,29.6296,5116.1562,54.8993,10.8021
10901,40.7407,5116.4375,54.9623,10.9021
11001,32.1429,5116.5000,54.9423,11.0021
11101,33.3333,5116.4688,54.8532,11.1021
11201,34.4828,5116.4688,55.0407,11.2021
11301,34.3750,5116.1797,55.1133,11.3021
11401,33.3333,5116.1797,54.8757,11.4021
11501,34.6154,5116.2422,54.6806,11.5021
11601,37.5000,5116.4609,54.5129,11.6021
11701,28.5714,5116.4609,54.4629,11.7021
11801,40.0000,5116.4609,54.4762,11.8021
11901,34.6154,5116.5234,54.3957,11.9021
12001,35.4839,5116.2422,54.5363,12.0021
12101,38.4615,5116.2734,54.4918,12.1021
12201,34.4828,5116.1797,54.6790,12.2021
12301,38.2353,5116.3047,55.1135,12.3021
12401,34.4828,5116.2734,55.2253,12.4021
12501,27.2727,5116.3984,55.4336,12.5021
12601,37.0370,5116.4609,55.5463,12.6021
12701,34.4828,5116.4609,55.6210,12.7021
12801,30.0000,5116.3359,55.7740,12.8021
12901,33.3333,5116.4609,55.8141,12.9021
13001,34.4828,5116.3047,55.9632,13.0021
13101,33.3333,5116.3047,55.9350,13.1021
13201,35.7143,5116.4609,56.0338,13.2021
13301,37.5000,5116.1797,55.9500,13.3021
13401,43.4783,5116.1797,55.7868,13.4021
13501,31.0345,5116.1797,56.0277,13.5021
13601,41.3793,5116.5234,56.1675,13.6021
13701,30.7692,5116.1172,56.2921,13.7021
13801,36.3636,5116.1484,56.5027,13.8021
13901,40.0000,5116.3672,56.7138,13.9021
14001,33.3333,5116.2734,57.0331,14.0021
14101,30.7692,5116.1797,57.1085,14.1021
14201,36.6667,5116.2109,57.1263,14.2021
14301,22.2222,5116.4609,57.1427,14.3021
14401,36.6667,5116.4609,57.2476,14.4021
14501,37.0370,5116.4297,57.3285,14.5021
14601,35.4839,5116.4922,57.3634,14.6021
14701,33.3333,5116.1797,57.2741,14.7021
14801,36.1111,5116.4609,57.3310,14.8021
14901,29.1667,5116.2734,57.2530,14.9021
15001,32.1429,5116.3672,57.2264,15.0021
15101,35.2941,5116.3672,57.1664,15.1021
15201,31.5789,5116.3047,56.9444,15.2021
15301,35.7143,5116.3047,56.9588,15.3021
15401,36.0000,5116.4609,56.9571,15.4021
15501,40.7407,5116.3047,56.8708,15.5021
15601,32.1429,5116.2734,56.9232,15.6021
15701,41.9355,5116.1484,57.0406,15.7021
15801,33.3333,5116.4609,56.9689,15.8021
15901,33.3333,5116.5234,57.0372,15.9021
16001,37.9310,5116.4297,57.1057,16.0021
16101,29.0323,5116.3047,57.0960,16.1021
16201,33.3333,5116.2734,57.2057,16.2021
16301,37.9310,5116.1719,57.2578,16.3021
16401,37.9310,5116.2656,57.3493,16.4021
16501,30.7692,5116.4531,57.3204,16.5021
16601,36.3636,5116.4531,57.3749,16.6021
16701,35.7143,5116.4531,57.4404,16.7021
16801,32.1429,5116.1719,57.5676,16.8021
16901,37.0370,5116.4531,57.5963,16.9021
17001,37.5000,5116.1406,57.4493,17.0021
17101,31.0345,5116.1406,57.4784,17.1021
17201,36.0000,5116.4531,57.5186,17.2021
17301,33.3333,5116.2969,57.5933,17.3021
17401,38.4615,5116.4531,57.6427,17.4021
17501,39.2857,5116.4531,57.6279,17.5021
17601,33.3333,5116.4844,57.7501,17.6021
17701,36.0000,5116.1719,57.7876,17.7021
17801,29.0323,5116.4531,57.8652,17.8021
17901,31.2500,5116.4531,57.7277,17.9021
18001,35.4839,5116.4219,57.7238,18.0021
18101,30.7692,5116.3281,57.7253,18.1021
18201,34.4828,5116.4219,57.6620,18.2021
18301,30.0000,5116.4219,57.6603,18.3021
18401,33.3333,5116.4531,57.7111,18.4021
18501,32.0000,5116.4531,57.6595,18.5021
18601,32.1429,5116.3594,57.6604,18.6021
18701,38.8889,5116.4219,57.7017,18.7021
18801,31.2500,5116.4219,57.4941,18.8021
18901,34.4828,5116.3281,57.5323,18.9021
19001,31.2500,5116.1719,57.6046,19.0021
19101,38.4615,5116.4531,57.6196,19.1021
19201,35.4839,5116.1406,57.7026,19.2021
19301,37.0370,5116.2344,57.6999,19.3021
19401,32.3529,5116.7031,57.8273,19.4021
19501,35.7143,5116.3281,57.8962,19.5021
19601,36.0000,5116.3281,57.8892,19.6021
19701,23.3333,5116.3281,57.7808,19.7021
19801,30.0000,5116.4531,57.8208,19.8021
19901,40.0000,5116.3594,57.9189,19.9021
20001,37.0370,5116.4531,57.9905,20.0021
20101,37.9310,5116.2031,58.1585,20.1021
20201,36.6667,5116.3594,58.3053,20.2021
20301,40.0000,5116.4805,58.4160,20.3021
20401,29.6296,5116.2930,58.4195,20.4021
20501,34.6154,5116.4180,58.4606,20.5021
20601,41.6667,5116.4492,58.4624,20.6021
20701,35.7143,5116.1992,58.4934,20.7021
20801,33.3333,5116.4180,58.5131,20.8021
20901,37.0370,5116.4180,58.4949,20.9021
21001,34.3750,5116.2617,58.5729,21.0021
21101,33.3333,5116.4805,58.7092,21.1021
21201,38.4615,5116.4805,58.6278,21.2021
21301,31.0345,5116.4727,58.5664,21.3021
21401,35.4839,5116.4727,58.5255,21.4021
21501,33.3333,5116.4727,58.4361,21.5021
21601,34.4828,5116.4727,58.4463,21.6021
21701,33.3333,5116.1602,58.3687,21.7021
21801,39.2857,5116.1602,58.3527,21.8021
21901,37.0370,5116.5039,58.3317,21.9021
22001,36.6667,5116.4727,58.3383,22.0021
22101,33.3333,5116.2227,58.3546,22.1021
22201,35.7143,5116.3789,58.3818,22.2021
22301,33.3333,5116.3789,58.3830,22.3021
22401,42.1053,5116.4414,58.2123,22.4021
22501,38.7097,5116.5039,58.3119,22.5021
22601,32.0000,5116.4727,58.3011,22.6021
22701,32.2581,5116.3477,58.3524,22.7021
22801,35.4839,5116.3477,58.4026,22.8021
22901,31.2500,5116.4727,58.4753,22.9021
23001,34.4828,5116.3477,58.5836,23.0021
23101,37.5000,5116.4102,58.6541,23.1021
23201,35.7143,5116.4102,58.7120,23.2021
23301,28.5714,5116.4102,58.7146,23.3021
23401,37.1429,5116.2227,58.7563,23.4021
23501,35.7143,5116.4414,58.8312,23.5021
23601,34.6154,5116.4414,58.8582,23.6021
23701,40.0000,5116.4727,58.9438,23.7021
23801,38.7097,5116.1602,59.1263,23.8021
23901,36.1111,5116.5039,59.3890,23.9021
24001,37.5000,5116.5039,59.5893,24.0021
24101,34.4828,5116.1602,59.6453,24.1021
24201,30.4348,5116.3164,59.5132,24.2021
24301,33.3333,5116.0039,59.5852,24.3021
24401,33.3333,5116.4727,59.6814,24.4021
24501,39.2857,5116.1602,59.7067,24.5021
24601,37.8378,5116.2852,59.7996,24.6021
24701,31.8182,5116.2852,59.7366,24.7021
24801,40.6250,5116.3477,59.7712,24.8021
24901,30.4348,5116.3477,59.7089,24.9021
25001,37.0370,5116.4727,59.7158,25.0021
25101,32.2581,5116.1914,59.6737,25.1021
25201,24.1379,5116.5039,59.6365,25.2021
25301,28.1250,5116.1914,59.6151,25.3021
25401,37.0370,5116.4727,59.5662,25.4021
25501,39.2857,5116.4414,59.5697,25.5021
25601,36.0000,5116.1289,59.5380,25.6021
25701,41.6667,5116.4414,59.4944,25.7021
25801,35.2941,5116.3477,59.4378,25.8021
25901,34.3750,5116.4414,59.4385,25.9021
26001,36.0000,5116.4414,59.3530,26.0021
26101,31.0345,5116.4727,59.4093,26.1021
26201,37.8378,5116.2461,59.4658,26.2021
26301,32.0000,5116.4336,59.4503,26.3021
26401,36.6667,5116.4336,59.4938,26.4021
26501,30.0000,5116.4648,59.5321,26.5021
26601,37.9310,5116.4023,59.5460,26.6021
26701,32.1429,5116.4023,59.5709,26.7021
26801,37.5000,5116.4023,59.6500,26.8021
26901,25.0000,5116.4023,59.7036,26.9021
27001,36.6667,5116.4336,59.8368,27.0021
27101,33.3333,5116.3398,59.9715,27.1021
27201,39.2857,5116.4961,60.0600,27.2021
27301,41.3793,5116.4336,60.1155,27.3021
27401,36.6667,5116.4336,60.1962,27.4021
27501,36.0000,5116.4336,60.1614,27.5021
27601,33.3333,5116.1211,60.1607,27.6021
27701,41.1765,5116.4336,60.2955,27.7021
27801,29.1667,5116.1211,60.1770,27.8021
27901,28.1250,5116.1523,60.1064,27.9021
28001,33.3333,5116.1523,59.9152,28.0021
28101,4.3478,5116.2773,59.7020,28.1021
28401,66.6667,5116.2773,59.0714,28.4021
28501,3.2967,5116.5234,58.8641,28.5021
29101,50.0000,5116.5234,57.6505,29.1021
29201,27.0270,5116.5234,57.4531,29.2021
29301,26.3158,5116.5234,57.2570,29.3021
29401,24.3243,5116.5234,57.0623,29.4021
