Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,4.12,1881.64,16.26,0.1021
201,34.62,1871.84,15.31,0.2021
301,56.00,1867.40,16.85,0.3021
401,40.00,1864.69,17.59,0.4021
501,29.73,1868.35,17.36,0.5021
601,32.14,1872.97,17.53,0.6021
701,37.04,1877.10,17.81,0.7021
801,37.93,1873.36,17.98,0.8021
901,39.13,1865.67,18.08,0.9021
1001,31.25,1867.77,17.44,1.0021
1101,42.86,1869.64,17.79,1.1021
1201,48.00,1871.13,18.21,1.2021
1301,34.78,1873.87,17.85,1.3021
1401,40.00,1878.24,17.95,1.4021
1501,52.17,1876.59,17.63,1.5021
1601,30.77,1876.81,16.62,1.6021
1701,28.57,1877.68,16.49,1.7021
1801,33.33,1880.24,16.04,1.8021
1901,35.71,1880.68,16.00,1.9021
2001,25.93,1880.47,15.92,2.0021
2102,40.91,1881.52,15.65,2.1031
2201,45.83,1884.25,15.62,2.2021
2301,36.84,1888.88,15.78,2.3021
2401,41.94,1889.78,15.85,2.4021
2501,29.63,1885.99,15.74,2.5021
2601,40.91,1889.01,15.60,2.6021
2701,55.56,1889.17,15.54,2.7021
2801,21.87,1890.34,15.12,2.8021
2901,42.11,1891.93,14.99,2.9021
3001,45.83,1894.82,14.91,3.0021
3101,45.00,1896.73,14.87,3.1021
3201,37.50,1898.57,14.72,3.2021
3301,44.44,1897.00,14.51,3.3021
3401,42.11,1898.88,14.22,3.4021
3501,39.13,1900.93,14.09,3.5021
3601,40.00,1902.00,14.05,3.6021
3701,44.44,1900.05,14.07,3.7021
3801,50.00,1902.84,13.98,3.8021
3901,42.86,1906.31,13.94,3.9021
4001,52.38,1908.17,13.79,4.0021
4101,42.86,1909.46,13.79,4.1021
4201,38.46,1912.44,13.81,4.2021
4301,47.83,1911.47,13.75,4.3021
4401,40.91,1914.70,13.73,4.4021
4501,39.13,1916.53,13.60,4.5021
4601,32.26,1918.83,13.54,4.6021
4701,45.83,1922.52,13.56,4.7021
4801,30.77,1925.28,13.56,4.8021
4901,38.46,1928.73,13.59,4.9021
5001,45.00,1922.99,13.59,5.0021
5101,36.36,1925.36,13.60,5.1021
5201,57.14,1921.60,13.57,5.2021
5301,28.57,1923.16,13.46,5.3021
5401,41.38,1927.97,13.62,5.4021
5501,37.93,1930.05,13.52,5.5021
5601,38.89,1932.34,13.48,5.6021
5701,44.00,1936.23,13.53,5.7021
5801,46.15,1939.70,13.56,5.8021
5901,46.43,1944.97,13.71,5.9021
6001,36.84,1943.09,13.65,6.0021
6101,47.83,1931.05,13.78,6.1021
6201,35.00,1934.04,13.79,6.2021
6301,47.37,1934.08,13.78,6.3021
6401,21.43,1934.94,13.65,6.4021
6501,38.46,1937.02,13.59,6.5021
6601,38.10,1939.32,13.53,6.6021
6701,34.48,1941.37,13.46,6.7021
6801,33.33,1943.91,13.41,6.8021
6901,39.13,1945.98,13.35,6.9021
7001,37.04,1945.39,13.39,7.0021
7101,47.62,1948.37,13.38,7.1021
7201,36.36,1951.13,13.37,7.2021
7301,34.78,1952.96,13.30,7.3021
7401,42.11,1952.84,13.26,7.4021
7501,42.86,1955.60,13.27,7.5021
7601,42.86,1958.57,13.28,7.6021
7701,36.67,1961.31,13.24,7.7021
7801,32.26,1964.32,13.25,7.8021
7901,48.39,1967.76,13.28,7.9021
8001,37.50,1971.89,13.34,8.0021
8101,38.89,1973.50,13.26,8.1021
8201,35.00,1964.45,13.21,8.2021
8301,29.41,1965.89,13.19,8.3021
8401,46.15,1969.55,13.23,8.4021
8501,37.04,1972.07,13.20,8.5021
8601,42.11,1975.30,13.22,8.6021
8701,38.10,1969.49,13.26,8.7021
8801,44.44,1972.01,13.24,8.8021
8901,32.00,1974.55,13.19,8.9021
9001,31.82,1976.16,13.12,9.0021
9101,34.62,1978.48,13.08,9.1021
9201,45.00,1981.68,13.09,9.2021
9301,50.00,1985.59,13.13,9.3021
9401,42.31,1983.02,13.24,9.4021
9501,35.71,1978.02,13.30,9.5021
9601,37.04,1981.69,13.33,9.6021
9702,42.86,1983.98,13.31,9.7029
9801,34.62,1985.84,13.25,9.8021
9901,34.62,1980.45,13.22,9.9021
10001,33.33,1982.96,13.19,10.0021
10101,41.67,1985.48,13.18,10.1021
10201,42.31,1989.17,13.20,10.2021
10301,43.48,1993.51,13.27,10.3021
10401,44.44,1993.36,13.32,10.4021
10501,36.36,1995.66,13.29,10.5021
10601,47.83,2000.28,13.32,10.6021
