Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,15.24,5069.50,0.00,0.1002
200,31.58,5069.72,7.29,0.2002
300,36.36,5069.06,40.35,0.3002
400,34.48,5069.00,57.30,0.4002
500,34.38,5069.18,62.26,0.5002
600,55.17,5068.80,64.22,0.6002
700,42.31,5068.80,61.95,0.7002
800,34.48,5069.18,63.55,0.8002
900,37.93,5069.18,63.77,0.9002
1000,36.67,5069.12,65.62,1.0002
1100,32.14,5068.96,64.97,1.1002
1200,53.85,5068.90,62.68,1.2002
1300,63.33,5068.93,63.04,1.3002
1400,35.71,5069.18,63.70,1.4002
1500,34.48,5068.80,63.00,1.5002
1600,38.71,5069.12,63.68,1.6002
1700,33.33,5069.12,63.59,1.7002
1800,55.56,5069.02,62.48,1.8002
1900,40.00,5068.93,62.62,1.9002
2000,29.63,5069.12,62.05,2.0002
2100,30.00,5069.12,62.45,2.1002
2200,40.00,5068.96,63.06,2.2002
2300,40.63,5068.99,64.54,2.3002
2400,40.74,5069.12,64.13,2.4002
2500,41.67,5069.12,64.45,2.5002
2600,35.71,5069.12,64.88,2.6002
2700,36.67,5068.96,66.27,2.7002
2800,37.93,5069.18,67.04,2.8002
2900,37.50,5069.18,67.84,2.9002
3000,46.43,5069.18,67.90,3.0002
3100,34.48,5069.18,67.89,3.1002
3200,40.00,5069.15,68.27,3.2002
3300,34.48,5069.21,67.88,3.3002
3400,31.03,5069.09,67.59,3.4002
3500,33.33,5069.09,67.59,3.5002
3600,37.50,5069.09,67.48,3.6002
3700,26.67,5068.90,66.93,3.7002
3800,36.36,5068.80,67.23,3.8002
3900,37.50,5069.12,66.46,3.9002
4000,32.00,5069.12,65.58,4.0002
4100,33.33,5069.12,65.41,4.1002
4200,37.04,5069.12,65.06,4.2002
4300,32.14,5069.12,64.66,4.3002
4400,32.26,5069.21,64.75,4.4002
4500,30.00,5068.84,64.56,4.5002
4600,34.62,5068.84,64.16,4.6002
4700,30.00,5069.12,64.30,4.7002
4800,34.37,5069.12,64.31,4.8002
4900,30.00,5068.96,64.49,4.9002
5000,35.71,5069.15,64.34,5.0002
5100,37.04,5069.15,64.30,5.1002
5200,32.26,5069.09,64.46,5.2002
5300,36.36,5069.09,65.17,5.3002
5400,36.67,5069.09,65.11,5.4002
5500,29.03,5069.09,64.97,5.5002
5600,35.71,5068.89,65.13,5.6002
5700,35.71,5068.92,65.20,5.7002
5800,34.38,5069.08,65.46,5.8002
5900,33.33,5069.08,65.61,5.9002
6000,37.93,5069.11,65.73,6.0002
6100,32.26,5069.11,65.96,6.1002
6200,35.48,5069.11,66.32,6.2002
6300,38.71,5068.95,66.51,6.3002
6400,33.33,5068.95,66.64,6.4002
6500,34.48,5068.98,66.63,6.5002
6600,35.71,5068.98,66.69,6.6002
6700,33.33,5069.08,66.66,6.7002
6800,39.39,5069.08,66.61,6.8002
6900,33.33,5068.92,66.16,6.9002
7000,34.48,5068.92,65.97,7.0002
7100,32.14,5069.14,65.72,7.1002
7200,35.71,5069.14,65.59,7.2002
7300,34.37,5069.14,65.73,7.3002
7400,40.74,5069.17,65.76,7.4002
7500,31.25,5069.17,65.81,7.5002
7600,34.48,5069.17,66.01,7.6002
7700,34.48,5069.02,66.01,7.7002
7800,30.00,5068.83,65.86,7.8002
7900,35.48,5068.95,65.90,7.9002
8000,32.14,5068.95,65.78,8.0002
8100,32.26,5068.95,65.71,8.1002
8200,40.63,5068.95,65.93,8.2002
8300,35.48,5068.95,66.02,8.3002
8400,40.00,5069.17,66.27,8.4002
8500,37.04,5069.17,66.30,8.5002
8600,32.26,5069.17,66.29,8.6002
8700,35.48,5069.11,66.41,8.7002
8800,34.37,5069.11,66.57,8.8002
8900,35.71,5068.92,66.66,8.9002
9000,41.38,5068.92,66.75,9.0002
9100,34.38,5069.20,66.96,9.1002
9200,35.48,5069.11,67.19,9.2002
9300,35.71,5069.11,67.26,9.3002
